artist_id,artist,album_name,release_date,album_type,total_tracks,spotify_id,kkbox_id
1,李宗盛,1984-1989李宗盛作品集,1989-03-21,album,10,4fiQQ7f9J7Athj1ucAmmG0,DZzLUpo_1aDjFzr6jV
1,李宗盛,Hills,1970-01-01,N/A,N/A,None,SrotGcywz6vWn9mURH
1,李宗盛,不捨,1994-06-15,album,11,03vRajGUsFl6Kc03Nmv8jg,None
1,李宗盛,作品李宗盛,1999-11-11,N/A,N/A,None,4qI7vo31wYJTRO8VNt
1,李宗盛,單曲,1970-01-01,N/A,N/A,None,Clm8En3BhWIkBpwgwO
1,李宗盛,山丘,2013-09-28,single,1,20snLPj2UZFzWhEudRYQba,GlxFdfUQs-18BM06oK
1,李宗盛,希望,1993-09-01,EP,4,2LnUGs5Bv2x80E4CWfiuVR,8luCogzOIXErS1Go01
1,李宗盛,愛在情歌蔓延時 李宗盛十年情歌精選集 男女對唱篇,1994-01-17,N/A,N/A,None,Wn873fD3UikGhGJM0L
1,李宗盛,愛的代價 李宗盛愛情論,2004-08-20,N/A,N/A,None,OsF9oNA4qcVQaYujZ_
1,李宗盛,我(們)就是這樣,1993-10-23,album,10,53t5aAD1dwTK3dOhkD52a7,None
1,李宗盛,新寫的舊歌,2018-05-17,single,1,6sktxAmQYcTKArK1bISFqB,OqBrI5flHgkGiRE96U
1,李宗盛,李宗盛 「既然青春留不住-還是做個大叔好」演唱會巡迴影音紀錄 LIVE,2016-11-18,album,29,7oxmnCtsNPI1qJDMBlPFXy,5_ISqP1KO3eqKbZsJt
1,李宗盛,李宗盛作品精選1生命中的精靈,1986-01-23,album,13,5pHAKb55ltL9mfPe2CWGLm,None
1,李宗盛,李宗盛珍藏版金碟,1970-01-01,N/A,N/A,None,WolxWoRXYBvu8OiInG
1,李宗盛,李宗盛的理性與感性作品音樂會,2007-09-28,album,31,3Sza2SoFHZQdgy3Yavx1OH,ClSk0u3BhWIkDqIM3T
1,李宗盛,李宗盛的音樂旅程-不捨,1994-06-10,N/A,N/A,None,0moiFn77qw4IkGhK3X
1,李宗盛,李宗盛的音樂旅程-不捨,1994-06-15,N/A,N/A,None,OsmJ8NA4qcVQaLzEXI
1,李宗盛,滾石香港黃金十年-李宗盛精選,2003-01-15,N/A,N/A,None,LYuQBIiiCNxEsxJG2H
1,李宗盛,生命中的精靈,1986-01-23,N/A,N/A,None,CqBooGARmpvC9xS3-L
1,李宗盛,男人三十,1970-01-01,N/A,N/A,None,5XpQge6BTkffK8M1xc
1,李宗盛,送你一首過年歌,2016-01-22,single,1,6NVS1ovfHnrmMSVZAq1Xcz,OoPb1XaIhoFhG_HQ48
2,劉若英,2000精選,2000-01-01,N/A,N/A,None,0sGPDqr_ljsmenO6je
2,劉若英,2020劉若英陪你 獻上錄音專輯,2020-04-30,album,11,07E9Kl6LCBjSX6U5dKvayC,OoQAgLbYhoFhFfKjwZ
2,劉若英,I'm Fine,2008-01-11,N/A,N/A,None,Ko1yuxoK1IXU8FDl8t
2,劉若英,Love and the City,2002-06-21,album,10,5XJh9ZHnBRXz0EUswxCWUj,LY1SRIiiCNxEuk7gIw
2,劉若英,一整夜,2005-12-09,N/A,N/A,None,DagAcXF-nP601KMJO8
2,劉若英,不營業的日常,2020-08-20,single,1,46K9h6nOjRiNNNiwoC8wce,1ZOXcS1Hk0A9sl0M-W
2,劉若英,亲爱的路人,1970-01-01,N/A,N/A,None,T_0JDZmb5SlJ9hDPVX
2,劉若英,你有沒有深愛過,2016-07-29,N/A,N/A,None,PZyEAYNo_n53Vwq0L5
